song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,like
On A Roll,Sander van Doorn,0.649,0.995,6,-5.239,1,0.0438,0.038,0.906,0.679,0.0334,128.022,1
Lost In The Rhythm,David Guetta,0.55,0.99,7,-4.901,1,0.0865,0.0069,0.893,0.205,0.275,124.829,1
You Can’t Change Me (feat. Raye),David Guetta,0.539,0.955,4,-4.877,0,0.0755,0.00219,0.0286,0.205,0.158,127.863,1
Be My Lover (feat. La Bouche) - 2023 Mix,Hypaton,0.589,0.973,8,-5.317,1,0.0426,0.0347,0.000945,0.45,0.115,126.003,1
Element,David Guetta,0.73,0.941,1,-6.211,1,0.14,0.024,0.527,0.123,0.0741,128.171,1
Baby Don't Hurt Me (feat. Anne-Marie & Coi Leray) - Hypaton & Giuseppe Ottaviani Remix,David Guetta,0.657,0.957,7,-6.016,1,0.0793,0.122,0.0319,0.218,0.223,128.046,1
Permanence,David Guetta,0.32,0.799,2,-10.464,1,0.389,0.0564,0.584,0.31,0.032,165.492,1
Call on Me - David Guetta Remix,Bebe Rexha,0.585,0.984,4,-3.452,0,0.0446,0.0212,0.081,0.168,0.0432,125.987,1
Solar,David Guetta,0.486,0.806,2,-9.39,1,0.0635,0.0118,0.634,0.397,0.0306,124.956,1
The Drill,MORTEN,0.739,0.97,5,-4.428,1,0.0527,0.034,0.378,0.103,0.052,128.002,1
Together (feat. Aldae),David Guetta,0.636,0.942,8,-3.903,1,0.0523,0.000445,0.126,0.385,0.0989,127.962,1
Alive Again,David Guetta,0.585,0.806,5,-5.565,1,0.193,0.219,0.0451,0.344,0.0876,124.922,1
Satisfaction,David Guetta,0.752,0.935,11,-6.263,1,0.203,0.0742,0.0352,0.081,0.31,126.022,1
Miracle (with Ellie Goulding) - David Guetta Remix,Calvin Harris,0.682,0.783,1,-5.058,0,0.0327,0.00991,0.0291,0.343,0.143,129.955,1
Juno,David Guetta,0.803,0.956,7,-7.757,1,0.176,0.0252,0.559,0.34,0.167,124.007,1
Titanium (feat. Sia) - David Guetta & MORTEN Future Rave Remix,David Guetta,0.448,0.911,10,-7.121,1,0.0491,0.00107,0.555,0.37,0.0305,126.021,1
Love Tonight (David Guetta Remix Edit),Shouse,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002,1
Players (with David Guetta) - David Guetta Remix,Coi Leray,0.79,0.963,1,-5.593,1,0.078,0.0511,0.0166,0.0852,0.545,124.995,1
No Good,MORTEN,0.709,0.904,10,-4.376,0,0.0489,0.186,0.133,0.0896,0.202,128.013,1
Kill Me Slow,David Guetta,0.698,0.859,6,-5.234,0,0.0605,0.114,0.208,0.228,0.518,126.039,1
Make It to Heaven (with Raye),David Guetta,0.587,0.92,0,-4.697,0,0.0914,0.0936,0.073,0.185,0.35,126.035,1
Dreams (feat. Lanie Gardner),David Guetta,0.61,0.896,9,-4.471,0,0.0384,0.0904,0.000157,0.0943,0.0723,128.056,1
I'm Good (Blue) - R3HAB Remix,David Guetta,0.631,0.832,7,-6.747,0,0.145,0.152,0.00426,0.147,0.258,127.963,1
God is A DJ,Faithless,0.598,0.964,6,-4.173,1,0.0523,0.0444,0.654,0.234,0.115,126.015,1
Impossible (feat. John Martin),David Guetta,0.459,0.732,2,-5.493,0,0.0593,0.0316,1.07e-05,0.279,0.0609,127.938,1
Unforgettable,MORTEN,0.647,0.925,11,-5.724,0,0.255,0.0178,0.176,0.0749,0.203,125.971,1
Transmission - Armin van Buuren Remix,Eelke Kleijn,0.645,0.891,9,-4.394,1,0.0382,0.0588,0.952,0.0819,0.156,130.021,1
Unholy (feat. Kim Petras) - David Guetta Acid Remix,Sam Smith,0.688,0.89,1,-3.425,1,0.0377,0.0124,0.00785,0.121,0.189,127.018,1
Never Be Alone (feat. Aloe Blacc),David Guetta,0.535,0.906,6,-4.699,0,0.0353,0.0202,0.000715,0.0886,0.732,126.012,1
If You Really Love Me (How Will I Know) - David Guetta & MORTEN Future Rave Remix,David Guetta,0.634,0.984,4,-2.751,0,0.0545,0.606,0.00168,0.232,0.802,126.977,1
Odyssey,David Guetta,0.651,0.901,6,-7.102,0,0.0705,0.00784,0.966,0.124,0.0656,126.107,1
Cafe Del Mar,Dimitri Vegas & Like Mike,0.512,0.972,5,-5.359,0,0.0526,0.0178,0.858,0.148,0.357,135.999,1
Save My Life (feat. Lovespeake),David Guetta,0.704,0.745,11,-7.664,0,0.0448,0.00135,0.741,0.234,0.0511,128.002,1
Nothing,David Guetta,0.439,0.996,1,-4.852,1,0.0779,0.0254,0.758,0.186,0.626,125.993,1
Heaven - David Guetta & MORTEN Remix,Avicii,0.572,0.934,6,-5.053,0,0.0446,0.00292,0.0198,0.105,0.204,125.948,1
Polar,MORTEN,0.747,0.955,6,-3.161,0,0.0835,0.00457,0.545,0.115,0.0372,126.024,1
Dance With Somebody,Sam Feldt,0.598,0.849,4,-5.311,1,0.0455,0.0393,0.00776,0.0966,0.0372,129.953,1
I'm Sorry,Armin van Buuren,0.596,0.919,9,-6.179,0,0.0485,0.0329,0.000216,0.138,0.218,130.017,1
ACID,Hardwell,0.573,0.982,0,-5.518,1,0.0576,0.0278,0.768,0.386,0.0617,135.034,1
