song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,like
"break up with your girlfriend, i'm bored",Ariana Grande,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,0
Chandelier,Sia,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,0
Toothbrush,DNCE,0.556,0.785,7,-5.842,1,0.133,0.122,0.0,0.468,0.825,104.978,0
Try,P!nk,0.674,0.628,2,-7.079,1,0.03,0.00144,0.0,0.0944,0.552,103.998,0
Mercy,Shawn Mendes,0.555,0.662,11,-4.952,0,0.0827,0.125,0.0,0.111,0.356,148.128,0
Uncover,Zara Larsson,0.536,0.456,2,-6.217,1,0.0267,0.501,0.0,0.213,0.32,90.032,0
24K Magic,Bruno Mars,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,0
Wide Awake,Katy Perry,0.511,0.681,5,-5.103,1,0.0359,0.0843,6.73e-06,0.503,0.555,160.035,0
Sweet but Psycho,Ava Max,0.72,0.706,1,-4.719,1,0.0473,0.0684,0.0,0.166,0.62,133.002,0
Hands To Myself,Selena Gomez,0.811,0.499,5,-7.161,0,0.118,0.0147,2.44e-06,0.342,0.466,111.016,0
Chained To The Rhythm,Katy Perry,0.562,0.8,0,-5.404,1,0.112,0.0814,0.0,0.199,0.471,95.029,0
Children,Justin Bieber,0.634,0.885,11,-4.702,0,0.304,0.0122,0.0,0.193,0.327,127.064,0
Cheap Thrills,Sia,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,0
Last Friday Night (T.G.I.F.),Katy Perry,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,0
Hot N Cold,Katy Perry,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,0
Your Song,Rita Ora,0.853,0.571,1,-5.845,1,0.0543,0.133,0.0,0.0564,0.958,117.991,0
Love Yourself,Justin Bieber,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,0
Physical,Dua Lipa,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,0
Sugar,Maroon 5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,0
Love Again,Dua Lipa,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,0
We Don't Talk Anymore (feat. Selena Gomez) - DROELOE Remix,Charlie Puth,0.702,0.82,1,-4.747,0,0.216,0.485,0.0,0.448,0.666,100.019,0
Kings & Queens,Ava Max,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,0
Closer,The Chainsmokers,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,0
Lights Up,Harry Styles,0.575,0.621,10,-8.165,0,0.032,0.0392,0.0045,0.141,0.27,101.987,0
El Eco de Tu Voz,Playa Limbo,0.869,0.63,2,-7.058,1,0.0374,0.198,7.38e-05,0.0749,0.844,124.017,0
Don't Start Now,Dua Lipa,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,0
traitor,Olivia Rodrigo,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,0
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.717,0.73,9,-4.729,0,0.0568,0.383,0.0,0.398,0.792,102.002,0
The Greatest (feat. Kendrick Lamar),Sia,0.668,0.725,1,-6.127,1,0.266,0.0102,0.000479,0.0561,0.729,191.944,0
Break My Heart,Dua Lipa,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,0
Rock And Roll All Nite,KISS,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,0
Last Resort,Papa Roach,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,0
Self Esteem,The Offspring,0.488,0.862,0,-7.595,1,0.0476,0.0204,0.0,0.359,0.706,104.56,0
Nothing Else Matters,Metallica,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,0
It's My Life,Bon Jovi,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,0
Toxicity,System Of A Down,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,0
Thunderstruck,AC/DC,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,0
Man in the Box,Alice In Chains,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,0
Otherside,Red Hot Chili Peppers,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,0
Kickstart My Heart,Mötley Crüe,0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535,0
"Paint It, Black",The Rolling Stones,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,0
Sweet Child O' Mine,Guns N' Roses,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,0
Crazy,Aerosmith,0.348,0.848,6,-4.674,0,0.0396,0.0454,0.0,0.143,0.486,162.189,0
Fortunate Son,Creedence Clearwater Revival,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,0
Would? (2022 Remaster),Alice In Chains,0.305,0.833,6,-7.981,1,0.0398,0.000327,2.36e-05,0.091,0.586,100.675,0
Pink,Aerosmith,0.473,0.768,0,-4.708,1,0.037,0.00994,0.0,0.145,0.826,171.669,0
Paranoid,Black Sabbath,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,0
"Girls, Girls, Girls",Mötley Crüe,0.599,0.931,7,-4.653,1,0.0735,0.0302,6.69e-05,0.392,0.536,140.123,0
Be Yourself,Audioslave,0.423,0.845,11,-3.509,0,0.0559,0.143,5.07e-06,0.213,0.317,116.602,0
Free Bird,Lynyrd Skynyrd,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,0
Crazy Train,Ozzy Osbourne,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,0
Lonely Day,System Of A Down,0.458,0.783,8,-3.226,0,0.0322,0.346,6.14e-06,0.13,0.224,113.072,0
Scar Tissue,Red Hot Chili Peppers,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,0
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,0.702,0.668,9,-9.237,1,0.214,0.518,0.0,0.0588,0.561,116.063,0
Perfect Strangers,Deep Purple,0.521,0.721,2,-7.699,1,0.0254,0.00348,0.0113,0.391,0.611,97.578,0
T.N.T.,AC/DC,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,0
Dream On,Aerosmith,0.392,0.476,1,-7.583,1,0.0249,0.397,0.000163,0.309,0.234,78.031,0
Whole Lotta Love - 1990 Remaster,Led Zeppelin,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,0
Chop Suey!,System Of A Down,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,0
Highway Star - Remastered 2012,Deep Purple,0.307,0.909,9,-7.08,0,0.0574,0.135,0.0336,0.125,0.443,173.674,0
Young And Foolish,Dee Burton,0.547,0.125,2,-16.665,0,0.0362,0.968,0.923,0.109,0.134,74.193,0
Your Shining Eyes,Wildflower Trio,0.653,0.153,2,-15.976,1,0.0519,0.979,0.814,0.135,0.141,78.287,0
The Fate of Love,Mino Conte & Co,0.485,0.138,11,-19.272,1,0.0313,0.866,0.541,0.0885,0.105,108.871,0
English Rose,Karl-Erik Trio,0.499,0.225,0,-15.635,1,0.0306,0.937,0.896,0.118,0.181,85.833,0
Silky Smooth,Eira Eld,0.45,0.209,7,-17.715,0,0.0393,0.965,0.604,0.112,0.139,67.315,0
Blue Notes in the Afternoon,Red Brick Lane,0.46,0.162,5,-17.492,0,0.0365,0.971,0.896,0.127,0.143,81.168,0
Linda´s Dream,Nordic Light Trio,0.434,0.195,5,-18.964,0,0.0278,0.97,0.848,0.36,0.131,95.468,0
Strangest Sea,Grayville Trio,0.22,0.188,5,-19.148,0,0.036,0.958,0.945,0.106,0.215,56.781,0
Pot of gold,The Holly Molly Trio,0.388,0.132,5,-20.264,1,0.0369,0.972,0.921,0.12,0.171,116.012,0
Ludlow,James Jackson Jazz Trio,0.434,0.126,0,-16.053,1,0.0363,0.967,0.755,0.11,0.226,53.58,0
Home town,Cole Peers trio,0.255,0.0745,0,-19.79,0,0.0395,0.863,0.128,0.133,0.179,75.936,0
Twenty Somethings,The Central Park North,0.415,0.148,8,-19.697,1,0.0355,0.988,0.958,0.129,0.303,54.914,0
Nightfall,David Parks & Silver,0.487,0.163,5,-16.707,1,0.0324,0.962,0.891,0.0962,0.161,88.204,0
Traveling Day,Arta Porting,0.361,0.185,5,-15.834,1,0.0357,0.92,0.955,0.119,0.197,138.126,0
i've got a crush on you,Hunter Paige,0.582,0.123,7,-16.208,0,0.0364,0.928,0.589,0.121,0.0795,106.559,0
All My Tomorrows,Figgy Mold,0.458,0.19,7,-16.454,1,0.0362,0.955,0.947,0.156,0.183,67.36,0
Something about him,Bruce Willmington & Co,0.421,0.0971,4,-21.319,1,0.0335,0.969,0.631,0.121,0.148,110.697,0
